Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),SITE ID,Unnamed: 2,Unnamed: 3,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2018-07-10 12:55:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 12:55:00,,2018-07-10 13:00:00,,,,,,,0.0,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 12:10:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 12:10:00,,2018-07-23 12:15:00,,,,,,,0.0,0.197,,HST01,,,,-0.197,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,2018-08-06 13:05:00,,,,,,,0.0,0.399,,HST01,,,,-0.399,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,2018-08-06 13:05:00,,,,,,,0.0,0.399,,HST01,,,,-0.399,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 13:00:00,,2018-08-06 13:05:00,,,,,,,0.0,0.399,,HST01,,,,-0.399,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 13:20:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-21 13:20:00,,2018-08-21 13:25:00,,,,,,,0.0,-0.064,,HST01,,,,0.064,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 12:05:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-05 12:05:00,,2018-09-05 12:10:00,,,,,,,0.0,-0.186,,HST01,,,,0.186,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,,0.0,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,2018-09-18 11:50:00,,,,,,,0.0,0.047,,HST01,,,,-0.047,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 11:45:00,,2018-09-18 11:50:00,,,,,,,0.0,0.047,,HST01,,,,-0.047,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 13:00:00,,,,,,,,,,,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 13:00:00,,2018-09-27 13:05:00,,,,,,,,-0.097,,HST01,,,,,0.0,0.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
